DATABASE;Antibiotic.Class;GENE;ACCESSION;Standard.Gene.Name;Antibiotic.Gene.Family;Disinfecting.Agent;Metal.resistance;Mechanism
CARD;MLS;Erm(43);HE650138.1:2186-2918;Erm(43);Erm 23S ribosomal RNA methyltransferase;;;antibiotic target alteration
CARD;MLS;erm(45);LN680996.1:12073-12811;Erm(45);Erm 23S ribosomal RNA methyltransferase;;;antibiotic target alteration
CARD;MLS;Erm(47);KU612222.1:80337-81078;Erm(47);Erm 23S ribosomal R methyltransferase;;;antibiotic target alteration
CARD;MLS;Erm(49);MWVR01000009.1:35299-34384;Erm(49);Erm 23S ribosomal RNA methyltransferase;;;antibiotic target alteration
CARD;MLS;Erm(51);MN928789.1:0-792;Erm(51);Erm 23S ribosomal RNA methyltransferase;;;antibiotic target alteration
CARD;MLS;Erm(52);MW269959.1:0-930;Erm(52);Erm 23S ribosomal R methyltransferase;;;antibiotic target alteration
CARD;MLS;erm(56);OQ326498.1:486-1287;Erm(56);Erm 23S ribosomal RNA methyltransferase;;;antibiotic target alteration
CARD;MLS;ErmB;AF242872.1:2131-2878;ErmB;Erm 23S ribosomal R methyltransferase;;;antibiotic target alteration
CARD;MLS;ErmC;M12730.1:779-1514;ErmC;Erm 23S ribosomal RNA methyltransferase;;;antibiotic target alteration
CARD;MLS;ErmF;M17124.1:1181-1982;ErmF;Erm 23S ribosomal RNA methyltransferase;;;antibiotic target alteration
CARD;MLS;ErmG;L42817.1:201-936;ErmG;Erm 23S ribosomal RNA methyltransferase;;;antibiotic target alteration
CARD;MLS;ErmQ;L22689.1:261-1035;ErmQ;Erm 23S ribosomal R methyltransferase;;;antibiotic target alteration
CARD;MLS;ErmT;M64090.1:0-735;ErmT;Erm 23S ribosomal R methyltransferase;;;antibiotic target alteration
CARD;MLS;ErmX;M36726.1:295-1150;ErmX;Erm 23S ribosomal RNA methyltransferase;;;antibiotic target alteration
CARD;MLS;ErmY;AB014481.1:0-735;ErmY;Erm 23S ribosomal RNA methyltransferase;;;antibiotic target alteration
CARD;MLS;Escherichia_coli_emrE;Z11877.1:485-818;Ecol_emrE;small multidrug resistance (SMR) antibiotic efflux pump;;;antibiotic efflux
CARD;MLS;EstT;CP094932.1:14993-15914;EstT;macrolide esterase;;;antibiotic inactivation
CARD;MLS;lnuA;M14039.1:412-898;lnuA;lincosamide nucleotidyltransferase (LNU);;;antibiotic inactivation
CARD;MLS;lnuB;AJ238249.1:126-930;lnuB;lincosamide nucleotidyltransferase;;;antibiotic inactivation
CARD;MLS;lnuC;AY928180.1:0-495;lnuC;lincosamide nucleotidyltransferase;;;antibiotic inactivation
CARD;MLS;lnuD;EF452177.1:0-495;lnuD;lincosamide nucleotidyltransferase (LNU);;;antibiotic inactivation
CARD;MLS;lnuF;AJ561197.2:1320-2142;lnuF;lincosamide nucleotidyltransferase (LNU);;;antibiotic inactivation
CARD;MLS;lnuG;KX470419.1:3811-4615;lnuG;lincosamide nucleotidyltransferase;;;antibiotic inactivation
CARD;MLS;LnuH;NC_020125.1:1862223-1861440;LnuH;lincosamide nucleotidyltransferase;;;antibiotic inactivation
CARD;MLS;LnuP;FJ589781.1:1302-1803;lnuP;lincosamide nucleotidyltransferase;;;antibiotic inactivation
CARD;MLS;lsaB;AJ579365.1:4149-5628;lsaB;lsa-type ABC-F protein;;;antibiotic target alteration
CARD;MLS;lsaE;AF408195.1:7908-9393;lsaE;lsa-type ABC-F protein;;;antibiotic target protection
CARD;MLS;Mef(En2);AF251288.1:2000-794;Mef(En2);major facilitator superfamily (MFS) antibiotic efflux pump;;;antibiotic efflux
CARD;MLS;mef(F);CP046364.1:31811-33005;mef(F);major facilitator superfamily (MFS) antibiotic efflux pump;;;antibiotic efflux
CARD;MLS;mel;AF227521.1:3269-4487;mel;msr-type ABC-F protein;;;antibiotic target protection
CARD;MLS;mphA;D16251.1:2531-1625;mphA;macrolide phosphotransferase (MPH);;;antibiotic inactivation
CARD;MLS;mphB;D85892.1:1158-2067;mphB;macrolide phosphotransferase;;;antibiotic inactivation
CARD;MLS;mphC;AB013298.1:2295-3195;mphC;macrolide phosphotransferase (MPH);;;antibiotic inactivation
CARD;MLS;mphE;DQ839391.1:13757-12872;mphE;macrolide phosphotransferase;;;antibiotic inactivation
CARD;MLS;mphG;AB571865.1:144308-143423;mphG;macrolide phosphotransferase (MPH);;;antibiotic inactivation
CARD;MLS;mphO;NZ_AGSO01000004.1:76478-77432;mphO;macrolide phosphotransferase (MPH);;;antibiotic inactivation
CARD;MLS;Mrx;AY522923.1:8983-7744;Mrx;macrolide phosphotransferase (MPH);;;antibiotic inactivation
CARD;MLS;msr(G);CP046364.1:33122-34580;msr(G);msr-type ABC-F protein;;;antibiotic target protection
CARD;MLS;msrA;X52085.1:342-1809;msrA;msr-type ABC-F protein;;;antibiotic target protection
CARD;MLS;msrE;EU294228.1:21241-22717;msrE;msr-type ABC-F protein;;;antibiotic target protection
CARD;MLS;salA;KC693025.1:0-1626;salA;sal-type ABC-F protein;;;antibiotic target protection
CARD;MLS;salB;JAHWBZ010000013.1:189242-187616;salB;sal-type ABC-F protein;;;antibiotic target protection
CARD;MLS;salC;JAAQPD010000007.1:117418-115792;salC;sal-type ABC-F protein;;;antibiotic target protection
CARD;MLS;vatE;AF242872.1:3579-4224;vatE;streptogramin vat acetyltransferase;;;antibiotic inactivation
CARD;MLS;vga(E)_Staphylococcus_cohnii;KF540226.1:5144-3569;Scoh_vga(E);vga-type ABC-F protein;;;antibiotic target protection
CARD;MLS;vgaALC;DQ823382.1:0-1569;vgaALC;vga-type ABC-F protein;;;antibiotic target protection
CARD;MLS;vgaC;FN806792.1:100-1669;vgaC;vga-type ABC-F protein;;;antibiotic target protection
CARD;MLS;vgaE;FR772051.1:8740-10315;vgaE;vga-type ABC-F protein;;;antibiotic target protection
CARD;mupirocin;Bifidobacterium_bifidum_ileS_conferring_resistance_to_mupirocin;CP001840.1:1613960-1610636;ileS;antibiotic-resistant isoleucyl-tR synthetase;;;antibiotic efflux
CARD;nitroimidazole;msbA;U00096.3:966620-968369;msbA;ATP-binding cassette (ABC) antibiotic efflux pump;;;antibiotic efflux
CARD;nitroimidazole;nimB;X71443.1:793-1288;nimB;nitroimidazole reductase;;;antibiotic inactivation
CARD;nitroimidazole;nimH;FJ969397.1:2-455;nimH;nitroimidazole reductase;;;antibiotic inactivation
CARD;nitroimidazole;nimJ;KJ816753.1:19792-19294;nimJ;nitroimidazole reductase;;;antibiotic inactivation
CARD;nucleoside;leuO;LR730402.1:740042-740987;leuO;major facilitator superfamily (MFS) antibiotic efflux pump;biocide;;antibiotic efflux
CARD;nucleoside;mdtN;AP009048.1:4307588-4306556;mdtN;resistance-nodulation-cell division (RND) antibiotic efflux pump;biocide;;antibiotic efflux
CARD;nucleoside;mdtO;AP009048.1:4306557-4304505;mdtO;major facilitator superfamily (MFS) antibiotic efflux pump;biocide;;antibiotic efflux
CARD;nucleoside;mdtP;AP009048.1:4304509-4303042;mdtP;major facilitator superfamily (MFS) antibiotic efflux pump;biocide;;antibiotic efflux
CARD;nucleoside;SAT-2;AB211124.1:0-525;SAT-2;streptothricin acetyltransferase (SAT);;;antibiotic inactivation
CARD;nucleoside;SAT-4;U01945.1:373-916;SAT-4;streptothricin acetyltransferase (SAT);;;antibiotic inactivation
CARD;peptide;ArnT;FO834906.1:304977-306633;ArnT;pmr phosphoethanolamine transferase;;;antibiotic target alteration
CARD;peptide;bacA;U00096.3:3204131-3203309;bacA;undecaprenyl pyrophosphate related proteins;;;antibiotic target alteration
CARD;peptide;Clostridium_perfringens_mprF;CP000312.1:1757774-1756064;Cper_mprF;defensin resistant mprF;;;antibiotic target alteration
CARD;peptide;eptA;AP009048.1:4340268-4338624;eptA;pmr phosphoethanolamine transferase;;;antibiotic target alteration
CARD;peptide;OmpA;FO834906.1:2175099-2173974;OmpA;General Bacterial Porin with reduced permeability to peptide antibiotics;;;reduced permeability to antibiotic
CARD;peptide;PmrF;U00096.1:2367070-2368039;PmrF;pmr phosphoethanolamine transferase;;;antibiotic target alteration
CARD;peptide;ugd;U00096.1:2099613-2098446;ugd;pmr phosphoethanolamine transferase;;;antibiotic target alteration
CARD;peptide;YojI;U00096.3:2308615-2306971;YojI;ATP-binding cassette (ABC) antibiotic efflux pump;;;antibiotic efflux
CARD;phenicol;catA1;V00622.1:243-903;catA1;chloramphenicol acetyltransferase (CAT);;;antibiotic inactivation
CARD;phenicol;catA8;JQ922409.1:92-740;"	catA8";chloramphenicol acetyltransferase (CAT);;;antibiotic inactivation
CARD;phenicol;catB11;CP008790.1:144510-145143;catB11;chloramphenicol acetyltransferase (CAT);;;antibiotic inactivation
CARD;phenicol;catB2;AY232670.1:4157-3524;catB2;chloramphenicol acetyltransferase (CAT);;;antibiotic inactivation
CARD;phenicol;catP;U15027.1:0-624;catP;chloramphenicol acetyltransferase;;;antibiotic inactivation
CARD;phenicol;catS;X74948.1:0-492;"	catS";chloramphenicol acetyltransferase (CAT);;;antibiotic inactivation
CARD;phenicol;cmlA1;M64556.1:600-1860;cmlA1;major facilitator superfamily (MFS) antibiotic efflux pump;;;antibiotic efflux
CARD;phenicol;cmlA9;AY963803.6:24823-26038;cmlA9;major facilitator superfamily (MFS) antibiotic efflux pump;;;antibiotic efflux
CARD;phenicol;cmlB1;AM296481.1:775-2041;cmlB1;major facilitator superfamily (MFS) antibiotic efflux pump;;;antibiotic efflux
CARD;phenicol;cmx;AF024666.2:35934-37110;cmx;major facilitator superfamily (MFS) antibiotic efflux pump;;;antibiotic efflux
CARD;phenicol;Enterococcus_faecium_chloramphenicol_acetyltransferase;AF507977.1:17463-18111;Efac_ACT_CHL;chloramphenicol acetyltransferase (CAT);;;antibiotic inactivation
CARD;phenicol;floR;AF231986.2:3307-4522;floR;major facilitator superfamily (MFS) antibiotic efflux pump;;;antibiotic efflux
CARD;phenicol;Limosilactobacillus_reuteri_cat-TC;U75299.1:0-717;Lreu_cat-TC;chloramphenicol acetyltransferase (CAT);;;antibiotic inactivation
CARD;phosphonic acid antibiotic;Chlamydia_trachomatis_intrinsic_murA_conferring_resistance_to_fosfomycin;AY152390.1:0-1335;Chlamydia_trachomatis_intrinsic_murA_conferring_resistance_to_fosfomycin;antibiotic-resistant murA transferase;;;antibiotic target alteration
CARD;phosphonic acid antibiotic;fosA5;KP143090.1:1619-1199;fosA5;fosfomycin thiol transferase;;;antibiotic inactivation
CARD;phosphonic acid antibiotic;FosA6;KU254579.1:59421-59841;FosA6;fosfomycin thiol transferase;;;antibiotic inactivation
CARD;phosphonic acid antibiotic;FosD;AB304512.1:17042-17462;FosD;fosfomycin thiol transferase;;;antibiotic inactivation
CARD;phosphonic acid antibiotic;FosK;AB917040.2:736-1135;FosK;fosfomycin thiol transferase;;;antibiotic inactivation
CARD;phosphonic acid antibiotic;FosY;MN961674.1:0-423;FosY;fosfomycin thiol transferase;;;antibiotic inactivation
CARD;phosphonic acid antibiotic;mdtG;CP000800.1:1192954-1191727;mdtG;major facilitator superfamily (MFS) antibiotic efflux pump;biocide;;antibiotic efflux
CARD;tetracycline;emrK;D78168.1:536-1592;emrK;major facilitator superfamily (MFS) antibiotic efflux pump;biocide;;antibiotic efflux
CARD;tetracycline;emrY;D78168.1:1591-3130;emrY;major facilitator superfamily (MFS) antibiotic efflux pump;biocide;;antibiotic efflux
CARD;tetracycline;tet(31);AJ250203.1:1650-2883;tet(31);major facilitator superfamily (MFS) antibiotic efflux pump;;;antibiotic efflux
CARD;tetracycline;tet(32);EU722333.1:1932-3852;tet(32);tetracycline-resistant ribosomal protection protein;;;antibiotic target protection
CARD;tetracycline;tet(33);AJ420072.1:22939-24163;tet(33);major facilitator superfamily (MFS) antibiotic efflux pump;;;antibiotic efflux
CARD;tetracycline;tet(36);AJ514254.1:0-1923;tet(36);tetracycline-resistant ribosomal protection protein;;;antibiotic target alteration
CARD;tetracycline;tet(39);AY743590.1:0-1188;tet(39);major facilitator superfamily (MFS) antibiotic efflux pump;;;antibiotic efflux
CARD;tetracycline;tet(40);AM419751.1:14210-15431;tet(40);major facilitator superfamily (MFS) antibiotic efflux pump;;;antibiotic efflux
CARD;tetracycline;tet(44);FN594949.1:25244-27167;tet(44);tetracycline-resistant ribosomal protection protein;;;antibiotic target protection
CARD;tetracycline;tet(57);KP137702.1:0-1197;tet(57);major facilitator superfamily (MFS) antibiotic efflux pump;;;antibiotic efflux
CARD;tetracycline;tet(65);CP123906.1:35320-34168;tet(65);major facilitator superfamily (MFS) antibiotic efflux pump;;;antibiotic efflux
CARD;tetracycline;tet(A);AF534183.1:2970-4245;tet(A);major facilitator superfamily (MFS) antibiotic efflux pump;;;antibiotic efflux
CARD;tetracycline;tet(B);AB089595.1:0-1206;tet(B);major facilitator superfamily (MFS) antibiotic efflux pump;;;antibiotic efflux
CARD;tetracycline;tet(C);AY043299.1:5175-3984;tet(C);major facilitator superfamily (MFS) antibiotic efflux pump;;;antibiotic efflux
CARD;tetracycline;tet(E);L06940.1:0-1218;tet(E);major facilitator superfamily (MFS) antibiotic efflux pump;;;antibiotic efflux
CARD;tetracycline;tet(G);AF133139.1:0-1176;tet(G);major facilitator superfamily (MFS) antibiotic efflux pump;;;antibiotic efflux
CARD;tetracycline;tet(H);Y15510.1:0-1203;tet(H);major facilitator superfamily (MFS) antibiotic efflux pump;;;antibiotic efflux
CARD;tetracycline;tet(K);S67449.1:0-1380;tet(K);major facilitator superfamily (MFS) antibiotic efflux pump;;;antibiotic efflux
CARD;tetracycline;tet(L);M11036.1:0-1377;tet(L);major facilitator superfamily (MFS) antibiotic efflux pump;;;antibiotic efflux
CARD;tetracycline;tet(M);AB039845.1:25-1945;tet(M);tetracycline-resistant ribosomal protection protein;;;antibiotic target protection
CARD;tetracycline;tet(O);M18896.2:206-2126;tet(O);tetracycline-resistant ribosomal protection protein;;;antibiotic target protection
CARD;tetracycline;tet(O/M/O);AY394560.1:0-1920;tet(O/M/O);tetracycline-resistant ribosomal protection protein;;;antibiotic target protection
CARD;tetracycline;tet(Q);Z21523.1:0-1974;tet(Q);tetracycline-resistant ribosomal protection protein;;;antibiotic target protection
CARD;tetracycline;tet(S);L09756.1:0-1926;tet(S);tetracycline-resistant ribosomal protection protein;;;antibiotic target protection
CARD;tetracycline;tet(T);L42544.1:0-1956;tet(T);tetracycline-resistant ribosomal protection protein;;;antibiotic target protection
CARD;tetracycline;tet(W);AJ222769.3:3686-5606;tet(W);tetracycline-resistant ribosomal protection protein;;;antibiotic target protection
CARD;tetracycline;tet(W/32/O);AY049983.2:8308-10228;tet(W/32/O);tetracycline-resistant ribosomal protection protein;;;antibiotic target protection
CARD;tetracycline;tet(W/N/W);KU736867.1:19653-21573;tet(W/N/W);tetracycline-resistant ribosomal protection protein;;;antibiotic target protection
CARD;tetracycline;tet(X);M37699.1:585-1752;tet(X);tetracycline inactivation enzyme;;;antibiotic inactivation
CARD;tetracycline;tet(X5);NZ_CP040912.1:84797-85964;tet(x5);tetracycline inactivation enzyme;;;antibiotic inactivation
CARD;tetracycline;tet(X6);MN507533.1:36121-37258;tetX6;tetracycline inactivation enzyme;;;antibiotic inactivation
CARD;tetracycline;tet(Y);AF070999.1:1679-2855;tet(Y);major facilitator superfamily (MFS) antibiotic efflux pump;;;antibiotic inactivation
CARD;tetracycline;tet(Z);AF121000.1:13034-11879;tet(Z);major facilitator superfamily (MFS) antibiotic efflux pump;;;antibiotic efflux
CARD;tetracycline;tetA(P);L20800.1:1062-2325;tetA(P);major facilitator superfamily (MFS) antibiotic efflux pump;;;antibiotic efflux
CARD;tetracycline;tetB(P);L20800.1:2308-4267;tetB(P);tetracycline-resistant ribosomal protection protein;;;antibiotic target protection
MEGARes;aminocoumarin;MDTA;MEG_3746;mdtA;resistance-nodulation-cell division (RND) antibiotic efflux pump;biocide;metal;antibiotic efflux
MEGARes;aminocoumarin;MDTB;MEG_3747;mdtB;resistance-nodulation-cell division (RND) antibiotic efflux pump;biocide;metal;antibiotic efflux
MEGARes;aminocoumarin;MDTC;MEG_3749;mdtC;resistance-nodulation-cell division (RND) antibiotic efflux pump;biocide;metal;antibiotic efflux
MEGARes;aminoglycoside;AAC3;MEG_60;AAC(3)-Iia;AAC(3);;;antibiotic inactivation
MEGARes;aminoglycoside;AAC3;MEG_44;AAC(3)-Iie;AAC(3);;;antibiotic inactivation
MEGARes;aminoglycoside;AAC3;MEG_32;AAC(3)-Iva;AAC(3);;;antibiotic inactivation
MEGARes;aminoglycoside;AAC6-PRIME;MEG_364;AAC(6')-Iad;AAC(6');;;antibiotic inactivation
MEGARes;aminoglycoside;AAC6-PRIME;MEG_279;AAC(6')-Iad;AAC(6');;;antibiotic inactivation
MEGARes;aminoglycoside;AAC6-PRIME;MEG_171;AAC(6')-Iid;AAC(6');;;antibiotic inactivation
MEGARes;aminoglycoside;AAC6-PRIME;MEG_303;AAC(6')-Iid;AAC(6');;;antibiotic inactivation
MEGARes;aminoglycoside;AAC6-PRIME;MEG_368;AAC(6')-Im;AAC(6');;;antibiotic inactivation
MEGARes;aminoglycoside;AAC6-PRIME;MEG_316;AAC6_Ie_APH2_Ia;aminoglycoside bifunctional resistance protein;;;antibiotic inactivation
MEGARes;aminoglycoside;ANT2-DPRIME;MEG_753;ANT(2'')-Ia;ANT(2'');;;antibiotic inactivation
MEGARes;aminoglycoside;ANT3-DPRIME;MEG_915;aadA;ANT(3'');;;antibiotic inactivation
MEGARes;aminoglycoside;ANT3-DPRIME;MEG_881;aadA;ANT(3'');;;antibiotic inactivation
MEGARes;aminoglycoside;ANT3-DPRIME;MEG_975;aadA;ANT(3'');;;antibiotic inactivation
MEGARes;aminoglycoside;ANT3-DPRIME;MEG_939;aadA11;ANT(3'');;;antibiotic inactivation
MEGARes;aminoglycoside;ANT3-DPRIME;MEG_816;aadA11;ANT(3'');;;antibiotic inactivation
MEGARes;aminoglycoside;ANT3-DPRIME;MEG_783;aadA11;ANT(3'');;;antibiotic inactivation
MEGARes;aminoglycoside;ANT3-DPRIME;MEG_882;aadA11;ANT(3'');;;antibiotic inactivation
MEGARes;aminoglycoside;ANT3-DPRIME;MEG_945;aadA13;ANT(3'');;;antibiotic inactivation
MEGARes;aminoglycoside;ANT3-DPRIME;MEG_851;aadA13;ANT(3'');;;antibiotic inactivation
MEGARes;aminoglycoside;ANT3-DPRIME;MEG_870;aadA14;ANT(3'');;;antibiotic inactivation
MEGARes;aminoglycoside;ANT3-DPRIME;MEG_952;aadA2;ANT(3'');;;antibiotic inactivation
MEGARes;aminoglycoside;ANT3-DPRIME;MEG_919;aadA22;ANT(3'');;;antibiotic inactivation
MEGARes;aminoglycoside;ANT3-DPRIME;MEG_948;aadA27;ANT(3'');;;antibiotic inactivation
MEGARes;aminoglycoside;ANT3-DPRIME;MEG_901;aadA5;ANT(3'');;;antibiotic inactivation
MEGARes;aminoglycoside;ANT3-DPRIME;MEG_823;aadA7;ANT(3'');;;antibiotic inactivation
MEGARes;aminoglycoside;ANT3-DPRIME;MEG_941;aadA9;ANT(3'');;;antibiotic inactivation
MEGARes;aminoglycoside;ANT3-DPRIME;MEG_766;aadA9;ANT(3'');;;antibiotic inactivation
MEGARes;aminoglycoside;ANT3-DPRIME;MEG_925;ANT(9)-Ia;APH(9);;;antibiotic inactivation
MEGARes;aminoglycoside;ANT4-PRIME;MEG_978;ANT(4')-Ia;ANT(4');;;antibiotic inactivation
MEGARes;aminoglycoside;ANT6;MEG_987;aad(6);ANT(6);;;antibiotic inactivation
MEGARes;aminoglycoside;ANT6;MEG_994;aad(6);ANT(6);;;antibiotic inactivation
MEGARes;aminoglycoside;ANT6;MEG_995;aadK;ANT(6);;;antibiotic inactivation
MEGARes;aminoglycoside;ANT6;MEG_1001;aadK;ANT(6);;;antibiotic inactivation
MEGARes;aminoglycoside;ANT6;MEG_998;aadS;ANT(6);;;antibiotic inactivation
MEGARes;aminoglycoside;ANT6;MEG_1000;ANT(6)-Ia;ANT(6);;;antibiotic inactivation
MEGARes;aminoglycoside;ANT6;MEG_988;ANT(6)-Ib;ANT(6);;;antibiotic inactivation
MEGARes;aminoglycoside;ANT6;MEG_997;ANT(6)-Ib;ANT(6);;;antibiotic inactivation
MEGARes;aminoglycoside;ANT9;MEG_1003;ANT(9)-Ia;APH(9);;;antibiotic inactivation
MEGARes;aminoglycoside;ANT9;MEG_1004;ANT(9)-Ia;APH(9);;;antibiotic inactivation
MEGARes;aminoglycoside;ANT9;MEG_1005;ANT(9)-Ib;ANT(9);;;antibiotic inactivation
MEGARes;aminoglycoside;APH2-DPRIME;MEG_1010;APH(2'')-If;"APH(2"")";;;antibiotic inactivation
MEGARes;aminoglycoside;APH2-DPRIME;MEG_1017;APH(2'')-IIIa;APH(2'');;;antibiotic inactivation
MEGARes;aminoglycoside;APH2-DPRIME;MEG_1016;APH(3')-Ia;APH(3');;;antibiotic inactivation
MEGARes;aminoglycoside;APH3-DPRIME;MEG_1019;APH(3'')-Ib;APH(3'');;;antibiotic inactivation
MEGARes;aminoglycoside;APH3-DPRIME;MEG_1029;APH(3')-Ia;APH(3');;;antibiotic inactivation
MEGARes;aminoglycoside;APH3-DPRIME;MEG_1044;APH(3')-Ia;APH(3');;;antibiotic inactivation
MEGARes;aminoglycoside;APH3-DPRIME;MEG_1050;APH(3')-IIa;APH(3');;;antibiotic inactivation
MEGARes;aminoglycoside;APH3-DPRIME;MEG_1047;APH(3')-IXa;APH(3');;;antibiotic inactivation
MEGARes;aminoglycoside;APH3-PRIME;MEG_1075;APH(3')-Via;APH(3');;;antibiotic inactivation
MEGARes;aminoglycoside;APH3-PRIME;MEG_1060;APH(9)-Ia;APH(9);;;antibiotic inactivation
MEGARes;aminoglycoside;APH4;MEG_1082;APH(4)-Ia;APH(4);;;antibiotic inactivation
MEGARes;aminoglycoside;APH6;MEG_1085;APH(6)-Id;APH(6);;;antibiotic inactivation
MEGARes;aminoglycoside;APH6;MEG_1086;APH(6)-Id;APH(6);;;antibiotic inactivation
MEGARes;aminoglycoside;KDPE;MEG_3448;kdpE;kdpDE;;;antibiotic efflux
MEGARes;aminoglycoside;RMTF;MEG_6071;rmtF;16S rRNA methyltransferase (G1405);;;antibiotic target alteration
MEGARes;beta-lactam;ACI;MEG_395;ACI-1;ACI beta-lactamase;;;antibiotic inactivation
MEGARes;beta-lactam;ACT;MEG_497;OXA-203;OXA beta-lactamase;;;antibiotic inactivation
MEGARes;beta-lactam;AMPC;MEG_728;Ecol_ampC_BLA;ampC-type beta-lactamase;;;antibiotic inactivation
MEGARes;beta-lactam;AMPH;MEG_729;ampH;Penicillin-binding protein mutations conferring resistance to beta-lactam antibiotics;;;antibiotic inactivation
MEGARes;beta-lactam;ARL;MEG_1112;ARL-1;ARL Beta-lactamase;;;antibiotic inactivation
MEGARes;beta-lactam;BLAEC;MEG_1282;EC-15;EC beta-lactamase;;;antibiotic inactivation
MEGARes;beta-lactam;BLAEC;MEG_1279;EC-18;EC beta-lactamase;;;antibiotic inactivation
MEGARes;beta-lactam;BLAEC;MEG_1278;EC-8;EC beta-lactamase;;;antibiotic inactivation
MEGARes;beta-lactam;BLAEC;MEG_1284;EC-8;EC beta-lactamase;;;antibiotic inactivation
MEGARes;beta-lactam;BLAEC;MEG_1276;Ecol_ampC_BLA;ampC-type beta-lactamase;;;antibiotic inactivation
MEGARes;beta-lactam;BLAZ;MEG_1322;mecC-type_BlaZ;BlaZ beta-lactamase;;;antibiotic inactivation
MEGARes;beta-lactam;CARB;MEG_1541;CARB-16;CARB beta-lactamase;;;antibiotic inactivation
MEGARes;beta-lactam;CARB;MEG_1545;CARB-8;CARB beta-lactamase;;;antibiotic inactivation
MEGARes;beta-lactam;CBP;MEG_1638;CBP-1;CBP beta-lactamase;;;antibiotic inactivation
MEGARes;beta-lactam;CEPA;MEG_1645;CepA-29;CepA beta-lactamase;;;antibiotic inactivation
MEGARes;beta-lactam;CEPA;MEG_1651;CepA-49;CepA beta-lactamase;;;antibiotic inactivation
MEGARes;beta-lactam;CFIA;MEG_1678;CfiA27;CfiA beta-lactamase;;;antibiotic inactivation
MEGARes;beta-lactam;CFX;MEG_1696;"	CfxA";CfxA beta-lactamase;;;antibiotic inactivation
MEGARes;beta-lactam;CFX;MEG_1698;CfxA2;"class A beta-la	CfxA beta-lactamasectamase";;;antibiotic inactivation
MEGARes;beta-lactam;CFX;MEG_1691;CfxA2;"class A beta-la	CfxA beta-lactamasectamase";;;antibiotic inactivation
MEGARes;beta-lactam;CFX;MEG_1695;CfxA6;CfxA beta-lactamase;;;antibiotic inactivation
MEGARes;beta-lactam;CFX;MEG_1686;CfxA6;CfxA beta-lactamase;;;antibiotic inactivation
MEGARes;beta-lactam;CTX;MEG_2435;CTX;CTX-M beta-lactamase;;;antibiotic inactivation
MEGARes;beta-lactam;CTX;MEG_2378;CTX-M-17;CTX-M beta-lactamase;;;antibiotic inactivation
MEGARes;beta-lactam;CTX;MEG_2430;CTX-M-54;CTX-M beta-lactamase;;;antibiotic inactivation
MEGARes;beta-lactam;EBR;MEG_8075;EBR-3;EBR beta-lactamase;;;antibiotic inactivation
MEGARes;beta-lactam;EBR;MEG_8076;EBR-4;EBR beta-lactamase;;;antibiotic inactivation
MEGARes;beta-lactam;EBR;MEG_2696;EBR-5;EBR beta-lactamase;;;antibiotic inactivation
MEGARes;beta-lactam;GIL;MEG_3136;GIL-1;GIL beta-lactamase;;;antibiotic inactivation
MEGARes;beta-lactam;HUGA;MEG_3281;FO-2;FO beta-lactamase;;;antibiotic inactivation
MEGARes;beta-lactam;IMP;MEG_3391;IMP-13;IMP beta-lactamase;;;antibiotic inactivation
MEGARes;beta-lactam;KPNO;MEG_3516;Kaer_Omp36;General Bacterial Porin with reduced permeability to beta-lactams;biocide;;reduced permeability to antibiotic
MEGARes;beta-lactam;MECA;MEG_3791;mecA;methicillin resistant PBP2;;;antibiotic target replacement
MEGARes;beta-lactam;MECI;MEG_3804;mecI;methicillin resistant PBP2;;;antibiotic target replacement
MEGARes;beta-lactam;MOX;MEG_8255;MOX-25;MOX beta-lactamase;;;antibiotic inactivation
MEGARes;beta-lactam;MOX;MEG_4024;MOX-9;MOX beta-lactamase;;;antibiotic inactivation
MEGARes;beta-lactam;MUS;MEG_4098;MUS-1;MUS beta-lactamase;;;antibiotic inactivation
MEGARes;beta-lactam;MUS;MEG_4099;MUS-2;MUS beta-lactamase;;;antibiotic inactivation
MEGARes;beta-lactam;OCH;MEG_4230;OCH-7;OCH beta-lactamase;;;antibiotic inactivation
MEGARes;beta-lactam;OMP37;MEG_4283;"	Kpne_OmpK37";General Bacterial Porin with reduced permeability to beta-lactams;;;"	reduced permeability to antibiotic"
MEGARes;beta-lactam;OMPD;MEG_4285;Omp1;General Bacterial Porin with reduced permeability to beta-lactams;;;"	reduced permeability to antibiotic"
MEGARes;beta-lactam;OXA;MEG_4980;OXA-1;OXA beta-lactamase;;;antibiotic inactivation
MEGARes;beta-lactam;OXA;MEG_8431;OXA-1005;OXA beta-lactamase;;;antibiotic inactivation
MEGARes;beta-lactam;OXA;MEG_8434;OXA-1041;OXA beta-lactamase;;;antibiotic inactivation
MEGARes;beta-lactam;OXA;MEG_4601;OXA-1156;OXA beta-lactamase;;;antibiotic inactivation
MEGARes;beta-lactam;OXA;MEG_4600;OXA-1160;OXA beta-lactamase;;;antibiotic inactivation
MEGARes;beta-lactam;OXA;MEG_4747;OXA-20;OXA beta-lactamase;;;antibiotic inactivation
MEGARes;beta-lactam;OXA;MEG_4797;OXA-296;OXA beta-lactamase;;;antibiotic inactivation
MEGARes;beta-lactam;OXA;MEG_4910;OXA-299;OXA beta-lactamase;;;antibiotic inactivation
MEGARes;beta-lactam;OXA;MEG_4810;OXA-299;OXA beta-lactamase;;;antibiotic inactivation
